63039;Ifta;200;300;300
63041;Immelborn;200;300;300
63043;Kaltenlengsfeld;200;300;300
63044;Kaltennordheim, Stadt;200;300;300
63045;Klings;200;300;300
63046;Krauthausen;200;300;300
63048;Lauchröden;200;300;300
63049;Lauterbach;200;300;250
63051;Leimbach;200;300;300
63052;Marksuhl;200;300;300
63053;Martinroda;200;300;270
63054;Merkers-Kieselbach;200;300;300
63055;Mihla;200;300;300
63058;Nazza;200;300;250
63059;Neidhartshausen;200;300;300
63061;Oberellen;215;300;300
63062;Oechsen;200;300;300
63065;Rockenstuhl;200;300;300
63066;Ruhla, Stadt;215;300;310
63068;Schleid;200;300;300
63069;Schweina;215;320;310
63071;Seebach;200;300;325
63072;Stadtlengsfeld, Stadt;200;300;300
63073;Steinbach;300;320;300
63075;Tiefenort;200;300;300
63076;Treffurt, Stadt;200;300;300
63078;Unterbreizbach;200;300;300
63079;Unterellen;200;300;300
63081;Urnshausen;200;300;300
63082;Vacha, Stadt;200;300;300
63083;Völkershausen;200;300;300
63084;Weilar;200;300;300
63086;Wiesenthal;200;300;300
63087;Wölferbütt;200;300;250
63089;Wolfsburg-Unkeroda;200;300;300
63092;Wutha-Farnroda;200;300;330
63093;Zella/Rhön;200;300;300
63094;Moorgrund;300;300;300
63095;Hörselberg;235;320;320
63096;Behringen;215;300;300
64000;Landkreis Unstrut-Hainich-Kreis;236;300;326
64001;Altengottern;240;300;300
64003;Bad Langensalza, Stadt;215;300;330
64004;Bad Tennstedt, Stadt;200;300;250
64005;Ballhausen;200;300;230
64007;Blankenburg;200;300;300
64008;Bothenheilingen;300;300;300
64009;Bruchstedt;200;300;200
64014;Dünwald;300;300;300
64017;Flarchheim;240;300;300
64018;Großengottern;240;300;300
64019;Großvargula;200;300;300
64021;Haussömmern;200;300;300
64022;Herbsleben;240;300;300
64023;Heroldishausen;240;300;300
64024;Heyerode;200;300;300
64025;Hildebrandshausen;200;300;300
64027;Hornsömmern;200;300;300
64029;Issersheilingen;300;300;300
64032;Kammerforst;250;300;300
64033;Kirchheilingen;200;300;300
64035;Kleinwelsbach;300;300;300
64036;Klettstedt;200;300;200
64037;Körner;300;300;300
64038;Kutzleben;200;300;200
64039;Langula;200;300;250
64042;Lengenfeld unterm Stein;200;300;300
64043;Marolterode;300;320;320
64045;Mittelsömmern;200;300;200
64046;Mühlhausen/Thüringen, Stadt;200;300;350
64047;Mülverstedt;250;250;300
64048;Neunheilingen;300;300;300
64049;Niederdorla;200;300;250
64051;Oberdorla;200;300;250
64052;Obermehler;250;320;320
64053;Oppershausen;200;300;250
64055;Rodeberg;300;300;300
64057;Schlotheim, Stadt;300;300;300
64058;Schönstedt;250;300;250
64061;Sundhausen;200;300;300
64062;Tottleben;200;300;300
64064;Urleben;200;300;250
64065;Weberstedt;300;320;320
64066;Weinbergen;240;300;300
64069;Katharinenberg;200;300;300
64071;Unstruttal;300;300;320
64072;Menteroda;300;300;350
64073;Anrode;300;300;300
65000;Landkreis Kyffhäuserkreis;226;321;329
65001;Abtsbessingen;200;300;300
65002;Artern/Unstrut, Stadt;235;370;330
65003;Bad Frankenhausen/Kyffhäuser, Stadt;235;320;330
65004;Badra;300;300;200
65005;Bellstedt;235;320;320
65006;Bendeleben;300;300;300
65008;Borxleben;200;300;300
65011;Bretleben;250;300;300
65012;Clingen, Stadt;200;300;300
65013;Donndorf;200;300;400
65014;Ebeleben, Stadt;235;320;320
65015;Esperstedt;200;300;300
65016;Etzleben;300;300;300
65018;Freienbessingen;200;300;300
65019;Gehofen;235;320;320
65021;Göllingen;235;320;320
65022;Gorsleben;215;300;300
65023;Greußen, Stadt;215;300;300
65027;Günserode;200;300;300
65029;Hachelbich;300;300;300
65031;Hauteroda;250;300;300
65032;Helbedündorf;200;300;300
65033;Heldrungen, Stadt;225;300;300
65034;Hemleben;250;310;300
65035;Heygendorf;200;300;300
65038;Holzsußra;200;300;300
65039;Ichstedt;215;300;300
65042;Kalbsrieth;200;300;300
65046;Mönchpfiffel-Nikolausrieth;200;300;300
65047;Nausitz;200;300;300
65048;Niederbösa;200;300;300
65051;Oberbösa;200;300;300
65052;Oberheldrungen;250;300;300
65054;Oldisleben;300;325;325
65056;Reinsdorf;200;300;300
65057;Ringleben;235;320;320
65058;Rockstedt;215;310;310
65061;Roßleben, Stadt;310;320;320
65062;Rottleben;235;320;320
65066;Seega;200;300;200
65067;Sondershausen, Stadt;235;330;340
65068;Steinthaleben;235;320;320
65072;Thüringenhausen;200;300;300
65074;Topfstedt;200;300;300
65075;Trebra;200;300;300
65076;Voigtstedt;200;300;300
65077;Wasserthaleben;200;300;300
65079;Westgreußen;200;300;300
65081;Wiehe, Stadt;235;320;320
65082;Wolferschwenda;200;300;300
65083;Schernberg;215;300;300
65084;Großenehrich, Stadt;200;300;300
66000;Landkreis Schmalkalden-Meiningen;231;309;317
66001;Altersbach;200;300;300
66002;Aschenhausen;215;300;320
66003;Bauerbach;250;300;300
66004;Behrungen;300;300;300
66005;Belrieth;200;300;300
66006;Benshausen;200;300;300
66007;Berkach;300;300;300
66008;Bermbach;200;300;300
66011;Bibra;300;300;300
66012;Birx;215;300;300
66013;Breitungen/Werra;200;300;300
66014;Brotterode, Kurort, Stadt;235;320;350
66015;Christes;200;300;250
66016;Dillstädt;200;300;350
66017;Einhausen;250;300;300
66018;Ellingshausen;200;300;300
66019;Erbenhausen;215;300;300
66021;Exdorf;300;300;300
66022;Fambach;200;300;300
66023;Floh-Seligenthal;200;300;300
66024;Frankenheim/Rhön;300;300;300
66025;Friedelshausen;200;300;300
66028;Henneberg;200;300;300
66031;Herpf;200;300;300
66032;Heßles;235;320;300
66033;Hümpfershausen;200;300;300
66034;Jüchsen;300;300;300
66035;Kaltensundheim;215;300;300
66036;Kaltenwestheim;215;300;300
66037;Kleinschmalkalden, Kurort;215;300;300
66038;Kühndorf;200;300;250
66039;Leutersdorf;200;300;300
66041;Mehmels;215;300;300
66042;Meiningen, Stadt;235;330;340
66043;Melpers;215;300;300
66044;Metzels;230;300;300
66045;Neubrunn;300;300;300
66046;Nordheim;300;300;300
66047;Oberhof, Stadt;300;350;350
66048;Oberkatz;215;300;300
66049;Obermaßfeld-Grimmenthal;300;300;300
66051;Oberschönau, Kurort;200;300;300
66052;Oberweid;215;300;300
66053;Oepfershausen;235;320;320
66054;Queienfeld;300;300;300
66055;Rentwertshausen;300;300;300
66056;Rippershausen;200;300;300
66057;Ritschenhausen;200;300;300
66058;Rohr;300;300;300
66059;Rosa;200;300;300
66061;Roßdorf;200;300;300
66062;Rotterode;200;300;300
66063;Schmalkalden, Kurort, Stadt;200;300;320
66064;Schwallungen;225;300;325
66065;Schwarza;200;300;300
66066;Schwickershausen;300;300;300
66067;Springstille;200;300;350
